Name,Price,Author,Date,Publisher,Comment,sales
机器学习 ,61.6,周志华,1/1/2016,清华大学出版社,74788,172446
机器学习实战【python基础教程指南，python核心编程实例指导，对wxpython数据库充分的讲解，不可错过的编 ,54.5,哈林顿,6/1/2013,人民邮电出版社,24895,300279
机器学习——原理、算法与应用 ,66.5,雷明,9/1/2019,清华大学出版社,1074,2643
机器学习实战：基于Scikit-Learn和TensorFlow ,82.1,奥雷利安·杰龙,8/27/2018,机械工业出版社,5438,259062
机器学习中的数学 ,61.1,孙博,11/1/2019,水利水电出版社,1778,72852
机器学习线性代数基础：Python语言描述 ,38.7,张雨萌,8/12/2019,北京大学出版社,1510,268072
深度学习 ,112.6,Goodfellow,7/1/2017,人民邮电出版社,54401,239613
机器学习理论导引,79,周志华,5/30/2020,机械工业出版社,388,119741
机器学习入门到实战——MATLAB ,46.6,冷雨泉,2/25/2019,清华大学出版社,1066,134409
机器学习（决战大数据时代！IT技术人员不得不读！）,27.6,米歇尔,3/1/2008,机械工业出版社,7720,28469
Python机器学习基础教程 ,62.4,安德里亚斯·穆勒,1/1/2018,人民邮电出版社,5019,190286
图解机器学习 ,38.7,杉山将,4/1/2015,人民邮电出版社,5153,37125
白话机器学习的数学,46.6,立石贤吾,6/1/2020,人民邮电出版社,2,168709
漫画机器学习入门 ,45.1,大关真之,11/1/2018,化学工业出版社,361,45048
机器学习精讲 ,47.6,安德烈·布可夫,1/1/2020,人民邮电出版社,345,46821
实用机器学习 ,54.5,Henrik,6/6/2017,机械工业出版社,885,136390
Python机器学习手册：从数据预处理到深度学习,81.9,Chris,7/1/2019,电子工业出版社,1639,16899
百面机器学习 ,59.7,诸葛越,8/1/2018,人民邮电出版社,5829,99034
机器学习算法（原书第2版） ,68.3,朱塞佩·博纳科尔索,4/1/2020,机械工业出版社,119,229441
机器学习案例实战 ,47.2,赵卫东,9/1/2019,人民邮电出版社,327,260678
机器学习基础教程,34.2,姚舜才,4/1/2020,西安电子科技大学出版社,18,291610
机器学习算法的数学解析与Python实现 ,70.3,莫凡,12/20/2019,机械工业出版社,230,148017
快乐机器学习,109.5,王圣元,1/1/2020,电子工业出版社,336,277686
机器学习入门之道 ,46.4,中井悦司,5/1/2018,人民邮电出版社,692,102085
机器学习基础——原理、算法与实践 ,67.1,袁梅宇,8/10/2018,清华大学出版社,284,69248
机器学习：算法背后的理论与优化 ,47.6,史春奇,6/4/2019,清华大学出版社,472,165213
TensorFlow机器学习,54.5,尼山特·舒克拉,11/11/2019,机械工业出版社,136,286297
